job_title,company,location,experience,salary,required_skills,apply_link
Cloud Engineer,Zoho,Kochi,2-4 Years,₹8 LPA - ₹14 LPA,"Terraform, Google Cloud, Azure, AWS, Cloud Computing, Kubernetes, Adaptability, Problem Solving",https://zoho.com/jobs
Python Developer,Deloitte,Kolkata,0-1 Years,₹3 LPA - ₹6 LPA,"PostgreSQL, Problem Solving, Git, Flask, Python, SQL, Teamwork",https://deloitte.com/jobs
Cybersecurity Analyst,Deloitte,Chennai,Fresher,₹3 LPA - ₹6 LPA,"Cybersecurity, Penetration Testing, Firewall, Cryptography, SSL/TLS, Problem Solving",https://deloitte.com/careers/openings
AI Engineer,Infosys,Hyderabad,2-4 Years,₹10 LPA - ₹18 LPA,"Computer Vision, NLP, PyTorch, Deep Learning, Adaptability",https://infosys.com/careers/openings
Business Analyst,PhonePe,Chennai,0-1 Years,₹3 LPA - ₹6 LPA,"Excel, Communication, Data Analysis, Power BI, Stakeholder Management, Critical Thinking, Leadership",https://phonepe.com/jobs
AI Engineer,PhonePe,Hyderabad,2-4 Years,₹10 LPA - ₹18 LPA,"Machine Learning, Python, PyTorch, NLP, Leadership",https://phonepe.com/jobs
Full Stack Developer,Deloitte,Kochi,2-4 Years,₹8 LPA - ₹14 LPA,"MongoDB, Git, JavaScript, SQL, Express, CSS, Teamwork, Leadership",https://deloitte.com/in/careers
Cloud Engineer,Freshworks,Bengaluru,2-4 Years,₹10 LPA - ₹18 LPA,"AWS, Docker, Google Cloud, Terraform, Azure, Linux, Communication",https://freshworks.com/in/careers
Business Analyst,Wipro,Kochi,Fresher,₹3 LPA - ₹5 LPA,"SQL, Power BI, Communication, Excel, Stakeholder Management, Problem Solving, Time Management",https://wipro.com/in/careers
SQL Developer,PwC,Hyderabad,0-1 Years,₹4 LPA - ₹7 LPA,"MySQL, ETL, Database Design, Git, Critical Thinking",https://pwc.com/careers
Python Developer,LTIMindtree,Mumbai,2-4 Years,₹10 LPA - ₹18 LPA,"SQL, Docker, Flask, Django, Teamwork, Adaptability",https://ltimindtree.com/careers
Java Developer,Amazon,Ahmedabad,Fresher,₹3 LPA - ₹5 LPA,"Spring Boot, Java, Git, Agile, Leadership, Adaptability",https://amazon.jobs/careers
AI Engineer,Infosys,Gurugram,2-4 Years,₹8 LPA - ₹14 LPA,"TensorFlow, Computer Vision, Python, Machine Learning, Deep Learning, NLP, Leadership, Critical Thinking",https://infosys.com/careers/openings
AI Engineer,LTIMindtree,Pune,0-1 Years,₹4 LPA - ₹7 LPA,"PyTorch, Python, Git, NLP, Machine Learning, Leadership, Time Management",https://ltimindtree.com/careers
Business Analyst,PwC,Kochi,1-2 Years,₹6 LPA - ₹10 LPA,"Excel, Power BI, Communication, Stakeholder Management, Problem Solving, Teamwork, Critical Thinking",https://pwc.com/careers/openings
Backend Developer,Microsoft,Bengaluru,2-4 Years,₹10 LPA - ₹18 LPA,"PostgreSQL, Java, SQL, Python, Git, REST API, Adaptability, Communication",https://careers.microsoft.com/in/careers
Business Analyst,Wipro,Kochi,0-1 Years,₹3 LPA - ₹6 LPA,"Communication, Problem Solving, Data Analysis, SQL, Stakeholder Management, Critical Thinking",https://wipro.com/jobs
Cybersecurity Analyst,IBM,Noida,1-2 Years,₹5 LPA - ₹9 LPA,"Cybersecurity, Linux, Network Security, Penetration Testing, Adaptability",https://ibm.com/jobs
SQL Developer,Tech Mahindra,Kochi,1-2 Years,₹6 LPA - ₹10 LPA,"Database Design, ETL, PostgreSQL, Data Analysis, MySQL, Leadership, Time Management",https://techmahindra.com/in/careers
Frontend Developer,Google,Noida,0-1 Years,₹4 LPA - ₹7 LPA,"Bootstrap, HTML, Angular, CSS, Vue, Problem Solving",https://careers.google.com/in/careers
Data Analyst,Accenture,Chennai,1-2 Years,₹5 LPA - ₹9 LPA,"Tableau, Communication, Python, Power BI, Data Analysis, Adaptability, Critical Thinking",https://accenture.com/in/careers
Cloud Engineer,Capgemini,Noida,0-1 Years,₹3 LPA - ₹6 LPA,"Terraform, Azure, Kubernetes, AWS, Linux, Docker, Critical Thinking",https://capgemini.com/careers
DevOps Engineer,Accenture,Chennai,Fresher,₹3 LPA - ₹5 LPA,"Jenkins, CI/CD, Git, AWS, Leadership",https://accenture.com/in/careers
Cybersecurity Analyst,TCS,Bengaluru,2-4 Years,₹8 LPA - ₹14 LPA,"Cryptography, Linux, Firewall, SSL/TLS, Leadership",https://tcs.com/in/careers
Full Stack Developer,Cognizant,Hyderabad,0-1 Years,₹3 LPA - ₹6 LPA,"Express, SQL, CSS, Node.js, Critical Thinking, Time Management",https://cognizant.com/careers
Business Analyst,PwC,Mumbai,0-1 Years,₹3 LPA - ₹6 LPA,"Problem Solving, SQL, Stakeholder Management, Data Analysis, Excel, Time Management, Leadership",https://pwc.com/in/careers
Java Developer,TCS,Pune,Fresher,₹3 LPA - ₹6 LPA,"REST API, Git, Java, Agile, Teamwork, Teamwork",https://tcs.com/in/careers
Machine Learning Engineer,Infosys,Hyderabad,1-2 Years,₹5 LPA - ₹9 LPA,"NumPy, Python, Machine Learning, Pandas, Critical Thinking",https://infosys.com/in/careers
C++ Developer,LTIMindtree,Pune,0-1 Years,₹4 LPA - ₹7 LPA,"Linux, Data Structures, Git, C, Problem Solving, C++, Communication, Critical Thinking",https://ltimindtree.com/in/careers
AI Engineer,Wipro,Noida,2-4 Years,₹10 LPA - ₹18 LPA,"PyTorch, Computer Vision, TensorFlow, NLP, Problem Solving",https://wipro.com/in/careers
DevOps Engineer,Capgemini,Ahmedabad,2-4 Years,₹8 LPA - ₹14 LPA,"CI/CD, Terraform, Kubernetes, Docker, Git, Linux, Time Management",https://capgemini.com/jobs
SQL Developer,Deloitte,Noida,Fresher,₹3 LPA - ₹5 LPA,"PostgreSQL, Database Design, Git, ETL, Teamwork",https://deloitte.com/careers
Full Stack Developer,Amazon,Mumbai,2-4 Years,₹8 LPA - ₹14 LPA,"React, HTML, SQL, JavaScript, Critical Thinking, Time Management",https://amazon.jobs/careers
Data Analyst,Amazon,Gurugram,Fresher,₹3 LPA - ₹5 LPA,"Power BI, Data Analysis, Tableau, Excel, Python, Statistics, Problem Solving, Time Management",https://amazon.jobs/jobs
C++ Developer,Capgemini,Gurugram,1-2 Years,₹6 LPA - ₹10 LPA,"Git, C++, Data Structures, Linux, Problem Solving, Leadership, Critical Thinking",https://capgemini.com/jobs
Cloud Engineer,Cognizant,Pune,1-2 Years,₹5 LPA - ₹9 LPA,"Linux, Cloud Computing, Kubernetes, Docker, Google Cloud, Problem Solving, Time Management",https://cognizant.com/jobs
Data Analyst,Deloitte,Ahmedabad,0-1 Years,₹4 LPA - ₹7 LPA,"Power BI, Tableau, Communication, Data Analysis, Statistics, Problem Solving",https://deloitte.com/in/careers
Machine Learning Engineer,PwC,Noida,Fresher,₹3 LPA - ₹5 LPA,"Scikit-learn, NumPy, Pandas, Python, TensorFlow, Git, Time Management",https://pwc.com/careers/openings
C++ Developer,Amazon,Mumbai,0-1 Years,₹4 LPA - ₹7 LPA,"Data Structures, Problem Solving, C, Git, Communication, Time Management",https://amazon.jobs/in/careers
Android Developer,PwC,Kochi,2-4 Years,₹8 LPA - ₹14 LPA,"SQLite, Git, Firebase, Kotlin, REST API, Adaptability",https://pwc.com/careers/openings
Full Stack Developer,PhonePe,Bengaluru,2-4 Years,₹10 LPA - ₹18 LPA,"React, JavaScript, Git, Node.js, Express, Time Management",https://phonepe.com/careers/openings
SQL Developer,Microsoft,Ahmedabad,0-1 Years,₹4 LPA - ₹7 LPA,"Database Design, SQL, PostgreSQL, Git, Communication",https://careers.microsoft.com/jobs
Business Analyst,LTIMindtree,Noida,2-4 Years,₹8 LPA - ₹14 LPA,"Communication, Power BI, Stakeholder Management, SQL, Excel, Problem Solving, Communication, Problem Solving",https://ltimindtree.com/careers
Frontend Developer,TCS,Noida,Fresher,₹3 LPA - ₹5 LPA,"React, JavaScript, Angular, CSS, Tailwind CSS, Git, Teamwork, Time Management",https://tcs.com/jobs
Full Stack Developer,Amazon,Gurugram,Fresher,₹3 LPA - ₹5 LPA,"CSS, Express, JavaScript, HTML, React, Problem Solving",https://amazon.jobs/careers
